Bowler,Runs,Batting Hand,ReleaseY,ReleaseZ,PitchX,PitchY,PastY,PastZ
TE Bailey,0,LHB,0.8422777,2.0381252,7.3218873,0.4344124,0.1036359,0.7214625
TE Bailey,0,RHB,-0.6742404,2.2364643,5.8494436,-0.4277125,-0.4228604,0.6037686
NM Lyon,0,RHB,-0.813898,2.1352956,4.4610775,-0.5392135,-0.2964099,0.3175148
JG Bethell,0,LHB,0.9810842,2.1289315,4.5027637,0.281915,-0.1567809,0.4952676
JG Bethell,0,LHB,0.9767561,2.1377098,6.741519,0.6761562,0.174479,0.6574908
JA Porter,0,LHB,0.708492,1.9084414,9.9147009,0.3454573,0.0179356,0.7053096
JA Porter,0,LHB,0.6926094,1.9013173,8.8861181,0.2337826,-0.3084477,0.9916794
JA Porter,0,LHB,0.7143268,1.8112643,8.3297491,0.462259,0.3899552,0.7599011
JA Porter,0,LHB,0.6970444,1.886385,8.0189423,0.5499981,0.877368,0.8529573
JA Porter,0,LHB,0.7806537,1.8897603,7.5788161,0.4672819,0.3202258,0.8947395
JA Porter,1,RHB,-0.9299693,1.899969,8.3382513,-0.4697938,0.0402472,0.8574953
JA Porter,0,LHB,0.8223499,1.9600382,6.8833516,0.3395942,-0.02622,0.560985
JA Porter,0,LHB,0.6590419,1.7844091,8.8405292,0.3638053,0.1189271,0.7370633
JA Porter,0,LHB,0.773832,1.9273866,5.4222468,0.4308427,0.2900239,0.6536722
JA Porter,4,LHB,0.7139742,1.8224762,11.2302795,0.449014,0.2776381,1.3824532
JA Porter,0,LHB,0.7200739,1.8352631,10.6438968,0.3892779,0.1288285,1.1145782
JA Porter,0,RHB,-0.9162912,1.911669,8.3886543,-0.2527894,0.3873877,1.0868142
JA Porter,0,LHB,0.7283493,1.8445724,8.3939313,0.4422087,0.0665211,0.9312624
JA Porter,0,LHB,0.763099,1.8963966,7.774192,0.2748737,-0.2042004,0.5181243
JA Porter,0,LHB,0.6745574,1.8849681,6.5528085,0.2067589,-0.0856825,0.4923721
JA Porter,0,LHB,0.750531,1.8814942,7.3422511,0.3267787,-0.0975161,0.5259094
JA Porter,0,LHB,0.7371298,1.9004451,6.78997,0.3652254,0.1386677,0.6589578
JA Porter,0,LHB,0.8816498,1.961875,6.9534857,0.4721638,0.0247809,0.8488918
JA Porter,0,LHB,0.8410224,1.9175602,6.8311037,0.5022344,0.4070967,0.6174403
JA Porter,0,LHB,0.6949572,1.8603108,8.1582965,0.3408418,0.0199111,0.8634842
JA Porter,4,LHB,0.836723,1.9215838,5.5352998,0.4313266,0.2704744,0.6065117
JA Porter,0,LHB,0.7714842,1.932022,7.4614058,0.4515644,0.2962989,0.7487881
E Bosch,0,RHB,-0.751965,2.0648274,5.1871057,-0.2720011,-0.2524006,0.6408164
E Bosch,0,RHB,-0.7990087,2.0806553,3.9028039,-0.4519459,-0.5546204,0.6065736
E Bosch,0,LHB,-0.6313873,2.0558569,3.8016201,-0.0784947,-0.1169143,0.4907706
E Bosch,0,LHB,-0.6769508,1.9732386,8.0497204,-0.2945215,-0.0947321,0.794339
E Bosch,4,LHB,-0.7066394,2.1177564,5.4362352,0.0371287,0.0989029,0.7126231
E Bosch,1,LHB,0.8350624,2.0452919,8.7437545,0.5219309,0.3130675,0.7885874
E Bosch,0,LHB,0.9745777,2.0596634,7.2226728,0.4895451,0.1806262,0.6716904
E Bosch,0,LHB,0.9557471,2.0650821,5.0460877,0.3283478,0.019064,0.6763589
E Bosch,4,LHB,0.8747353,1.9772424,9.4600723,0.7092173,0.6741314,1.1276221
E Bosch,0,LHB,0.8610959,2.0161734,9.5421023,0.4095795,-0.0886105,0.8580045
E Bosch,0,LHB,0.8075561,1.9679316,7.9907818,0.5343768,0.1033437,0.7880416
E Bosch,0,LHB,0.8356739,2.0283433,7.9642379,0.5236167,0.0633823,0.7588938
E Bosch,1,LHB,0.8831428,2.003764,9.7908416,0.4402147,-0.2160305,1.1608896
E Bosch,0,LHB,0.8260872,1.9892606,8.9823724,0.7873488,0.715953,0.7923879
E Bosch,0,RHB,-1.1046845,2.0925849,3.0330861,-0.0536345,0.1301119,0.2676766
E Bosch,0,RHB,-0.9147995,1.9885653,8.6637593,-0.4856847,-0.3173368,0.8235925
E Bosch,4,RHB,-0.9331549,2.0300448,9.5655587,-0.3463938,0.1491368,0.8828017
E Bosch,4,RHB,-0.8997369,2.1000499,8.4369168,-0.3056662,0.1827677,0.8832699
E Bosch,4,RHB,-0.7795049,1.9879939,10.1350922,-0.368684,0.1894335,1.0166054
E Bosch,2,RHB,-1.06741,2.1014954,5.6032184,-0.4463094,-0.3593998,0.7204897
E Bosch,0,RHB,-0.9537756,1.9959425,7.5762789,-0.4433231,-0.0780955,0.7651477
E Bosch,0,RHB,-0.9843306,2.0818324,6.7494268,-0.4618512,-0.2332299,0.8999197
E Bosch,0,RHB,-1.098831,2.0542423,3.6375228,-0.3104166,-0.0615253,0.3608607
JA Porter,0,LHB,0.7762392,1.9174389,7.1736346,0.3992126,0.0226433,0.6641978
JA Porter,0,LHB,0.7352714,1.8821431,7.1872656,0.1551293,-0.1827537,0.4727426
JA Porter,0,LHB,0.7531181,1.9319365,7.5977633,0.3182379,-0.007951,0.7558445
JA Porter,0,RHB,-0.9567731,1.9301405,8.3340356,-0.5069172,-0.2256315,0.6042339
JA Porter,0,RHB,-0.8701784,1.884646,9.644237,-0.4421447,0.021201,0.8827838
JA Porter,1,RHB,-0.9341643,1.9251076,6.2089702,-0.3924072,-0.2710357,0.6525252
JA Porter,0,LHB,0.7371374,1.8813563,8.963485,0.4479168,0.08097,0.6848434
JA Porter,1,LHB,0.6616923,1.8524761,7.504813,0.2218895,-0.1462322,0.7783117
SR Harmer,1,LHB,0.5882964,1.8827624,3.7836815,0.2835083,0.0858639,0.3105435
PI Walter,2,RHB,0.5895374,2.1985222,8.1264301,0.0072013,-0.4854308,0.7656201
PI Walter,1,RHB,0.6413056,2.2887466,4.107205,0.2500735,0.112825,0.5663355
PI Walter,1,LHB,0.6661096,2.2372412,8.4432524,0.2078247,-0.1265388,0.9781216
PI Walter,1,RHB,0.5867239,2.2490428,6.8701514,0.0336987,-0.0909255,0.7799962
SR Harmer,1,RHB,-0.3840674,1.9425634,6.2552332,-0.6420332,-0.5545475,0.5136574
SR Harmer,1,LHB,0.4872454,1.9077436,4.5881216,0.3313492,0.5507835,0.5883509
SR Harmer,0,LHB,0.596972,2.0747466,3.9857383,0.1925798,0.2410918,0.431963
SR Harmer,0,LHB,0.7815207,2.214927,4.7322871,0.2989662,0.4605117,0.5010738
SR Harmer,0,LHB,0.5510373,2.0880878,4.8933368,-0.0046126,0.0995431,0.650024
JA Porter,0,RHB,-0.8625739,2.0020012,4.627552,-0.3055177,-0.3307213,0.3542851
JA Porter,0,RHB,-0.7875446,1.8778825,9.8295908,-0.4373001,-0.1890908,0.6979461
JA Porter,0,RHB,-0.8912087,1.9544726,6.7832341,-0.3035177,-0.0386606,0.6147338
JA Porter,0,RHB,-0.814199,1.9675591,7.3829176,-0.0942081,0.4423386,0.8203297
JA Porter,0,LHB,0.78537,1.9452413,7.0799056,0.4693286,0.1987199,0.6858161
JA Porter,0,LHB,0.8135069,1.9470561,9.9612612,0.590861,0.2015751,0.6866638
