,Bowlers,Expected Middle Percentage,Expected Whiff Percentage,Expected Edge Percentage
0,BA Hutton,0.29080833333333334,0.029547222222222225,0.028279166666666668
1,DY Pennington,0.2190997045790251,0.026704579025110784,0.02670901033973412
2,LW James,0.33688912133891213,0.04017852161785216,0.04291771269177127
3,D Paterson,0.3127455621301775,0.03408284023668639,0.040529163144547756
4,CG Harrison,0.26363971176941553,0.012610888710968776,0.021851080864691754
5,JA Porter,0.31065917431192663,0.0400197247706422,0.043232110091743124
6,SJ Cook,0.2882345297029703,0.035914603960396044,0.04035024752475247
7,S Snater,0.3088874773139746,0.0348983666061706,0.04141318814277072
8,SR Harmer,0.17025194453838347,0.009759891782211701,0.018169766655393983
9,PI Walter,0.18511641791044775,0.011999999999999999,0.014767164179104477
10,MJJ Critchley,0.1916593137254902,0.009536764705882352,0.016319240196078433
11,M Montgomery,0.2767222222222222,0.008666666666666668,0.021694444444444447
12,OJ Hannon-Dalby,0.28939825708061,0.03260130718954248,0.03136078431372549
13,C Rushworth,0.3506855895196506,0.03968413391557496,0.04370451237263464
14,MG Booth,0.31896739130434787,0.04504130434782609,0.04451739130434783
15,WMH Rhodes,0.29293985849056603,0.03139976415094339,0.03265683962264151
16,EG Barnard,0.3384902849740933,0.04053562176165803,0.04600777202072539
17,DR Briggs,0.2272283261802575,0.011034334763948498,0.019802575107296137
18,RM Yates,0.20981170018281534,0.010057586837294333,0.016951553930530164
19,J Leach,0.3903467422096317,0.03930198300283286,0.046194334277620396
20,NG Smith,0.3086401098901099,0.04280677655677656,0.04323534798534799
21,JO Holder,0.32437940379403796,0.02857723577235772,0.0325460704607046
22,MJ Waite,0.33367660910518054,0.036048665620094185,0.039634222919937206
23,AW Finch,0.2539274376417234,0.030608843537414967,0.030140589569161
24,BL D'Oliveira,0.03987015503875969,0.008282945736434108,0.005695736434108528
25,JD Libby,0.15962962962962962,0.00862962962962963,0.010370370370370372
26,Kashif Ali,0.3388557692307692,0.016855769230769233,0.03246634615384615
27,JG Bethell,0.3650829145728643,0.015998743718592966,0.02586683417085427
28,JH Davey,0.3114905857740586,0.036922594142259416,0.04189748953974896
