,Bowlers,Expected Middle Percentage,Expected Whiff Percentage,Expected Edge Percentage
0,BA Hutton,0.7432858082706766,0.062272744360902244,0.0567781954887218
1,DY Pennington,0.576771974522293,0.04895725406935598,0.06277112526539277
2,LW James,0.5355280043676537,0.0815358083370801,0.07896724259746933
3,D Paterson,0.5915966291605856,0.055440939692104896,0.07386031731086107
4,CG Harrison,0.7392515399935159,0.06024130424714001,0.07218767078875458
5,JA Porter,0.6020127346043229,0.08688509206273905,0.08714208201144484
6,SJ Cook,0.5988235490996721,0.1044372113260593,0.0820736997121628
7,S Snater,0.5840981014033106,0.10107010036060303,0.09756532128426815
8,SR Harmer,0.40682892197408327,0.03103377446925834,0.06197928728977117
9,PI Walter,0.8442519230769232,0.028821153846153847,0.07115961538461538
10,MJJ Critchley,0.4100032121879589,0.055509544787077834,0.06558333333333334
11,M Montgomery,0.8270357142857143,0.052313186813186814,0.08777472527472528
12,OJ Hannon-Dalby,0.6309748594521037,0.08000885211199846,0.0791795164327638
13,C Rushworth,0.5405116813765483,0.1046114613463868,0.08695149447452348
14,MG Booth,0.6801859980914375,0.0959420491021081,0.08012414331569359
15,WMH Rhodes,0.6073547915370257,0.08910460485376479,0.07049915992532668
16,EG Barnard,0.6462665582655827,0.08901173828881145,0.07371837398373984
17,DR Briggs,0.719051992014582,0.018161791511153547,0.04406857043659405
18,RM Yates,0.7164376391982182,0.04251695124969067,0.04749653551101213
19,J Leach,0.44407092758714184,0.07211543856753858,0.07932789126872797
20,NG Smith,0.41265181253755256,0.06072748514587088,0.09152072902062888
21,JO Holder,0.34539167333867093,0.06448871096877502,0.09092778222578062
22,MJ Waite,0.47430417449177953,0.09246766169154229,0.08390870152548516
23,AW Finch,0.45527071163871613,0.0815744614031782,0.07583185729539602
24,BL D'Oliveira,0.10084650833037928,0.0023050336760014178,0.004957639135058489
25,JD Libby,0.5366178861788617,0.008227642276422763,0.0
26,Kashif Ali,0.2910960163432073,0.0939979570990807,0.050032686414708885
27,JG Bethell,0.8050754417941199,0.020873365559870037,0.027033917109121168
28,JH Davey,0.683889119519789,0.08993868334689069,0.10491054949370285
29,JT Ball,0.4897660011938715,0.13631365656297673,0.10127452410957086
30,EO Leonard,0.0010983486238532111,0.0,0.0
31,L Gregory,0.6245545954237505,0.07962679279048959,0.10166153649495077
32,MT Renshaw,0.7183995749202976,0.028718384697130714,0.02020828905419766
33,KL Aldridge,0.7133763484358144,0.08408081625314634,0.07738066343042072
34,LP Goldsworthy,0.6948674435542608,0.009474144209759651,0.06189584850691915
35,NN Gilchrist,0.2679125447769295,0.0904214277960705,0.0635133697579332
36,WA Agar,0.0890188274153592,0.02210033030553262,0.026790008257638314
