Bowler,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Expected Middle Percentage,Expected Whiff Percentage,Expected Edge Percentage,Runs per Edge
TE Bailey,32.14,35.71,89.29,58.33,80.95,19.64,21.43,85.71000000000001
JA Porter,27.38,41.67,86.9,5.36,30.950000000000003,78.57,80.36,49.4
E Bosch,26.19,25.0,70.24,48.81,42.86,66.67,69.05,20.239999999999995
PI Walter,9.52,44.05,91.67,96.43,96.43,1.19,1.19,0.5999999999999943
S Snater,20.24,28.57,76.19,19.05,33.33,49.4,70.24,65.47999999999999
BA Raine,15.48,13.1,66.67,52.38,58.33,38.1,46.43,52.38
PM Siddle,44.05,33.33,15.48,47.02,38.1,70.24,61.9,78.57
MJ Potts,80.95,81.55,82.14,23.81,57.14,63.1,59.52,38.1
BFW de Leede,65.48,70.24,71.43,5.36,84.52,19.64,21.43,70.24
C Overton,47.62,53.57,52.38,100.0,21.430000000000007,53.57,47.62,66.67
JT Ball,90.48,89.29,21.43,90.48,41.67,59.52,55.95,96.43
KL Aldridge,89.29,91.67,59.52,85.71,60.71,54.76,38.1,29.760000000000005
M Pretorius,78.57,67.86,13.1,72.62,10.709999999999994,96.43,95.24,26.790000000000006
OP Stone,82.14,81.55,75.0,76.19,67.86,49.4,35.12,15.480000000000004
D Paterson,22.62,29.76,39.29,44.05,28.569999999999993,47.02,67.86,75.6
LW James,30.95,26.19,19.05,55.36,15.480000000000004,80.95,76.79,45.24
DY Pennington,66.67,73.81,73.81,83.33,85.71000000000001,10.71,10.71,23.209999999999994
TA Lammonby,11.9,15.48,72.62,30.95,0.0,25.6,45.24,98.21
CR Woakes,52.98,50.0,85.71,50.0,25.0,88.1,86.31,44.05
CN Miles,50.0,57.14,54.76,71.43,78.57,11.9,17.26,83.33
WMH Rhodes,8.33,5.95,10.71,82.14,45.24,30.95,39.29,10.709999999999994
OJ Hannon-Dalby,42.86,38.1,63.1,94.05,50.0,39.88,29.76,54.17
EG Barnard,29.76,27.38,80.95,40.48,14.290000000000006,82.14,90.48,41.67
Muhammad Abbas,35.71,40.48,77.38,51.19,44.05,72.62,71.43,33.93000000000001
KHD Barker,17.86,14.29,35.71,61.9,86.9,8.33,11.9,87.5
KJ Abbott,59.52,55.95,51.19,59.52,23.810000000000002,86.9,86.31,54.17
