Bowler,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Expected Middle Percentage,Expected Whiff Percentage,Expected Edge Percentage,Runs per Edge
NM Lyon,52.67,56.4,7.42,2.193,0.3193,0.0074,0.0517,0.34
JG Bethell,54.14,57.78,7.1,2.124,0.8051,0.0209,0.027,1.5
SR Harmer,48.54,57.11,14.98,2.273,0.4068,0.031,0.062,0.66
MJJ Critchley,49.86,52.64,6.43,2.193,0.41,0.0555,0.0656,1.13
CF Parkinson,50.3,55.44,9.29,2.093,0.7765,0.0331,0.0713,0.73
CN Ackermann,51.29,54.32,7.26,2.168,0.7927,0.0417,0.0433,1.55
SG Borthwick,46.7,50.69,7.34,1.989,0.7036,0.0388,0.1052,0.4
MJ Leach,53.17,57.31,7.95,2.125,0.7404,0.0456,0.0773,0.58
ARI Umeed,49.18,51.76,5.88,2.287,0.8256,0.0218,0.0545,0.0
CG Harrison,52.72,58.36,9.11,2.207,0.7393,0.0602,0.0722,0.77
JEK Rew,44.44,47.2,4.68,2.166,0.8255,0.0644,0.037,0.0
DR Mousley,63.89,73.7,21.4,2.192,0.8717,0.0084,0.0426,4.0
FS Organ,49.94,54.42,8.32,2.155,0.7693,0.0349,0.0348,0.4
LA Dawson,52.25,55.94,8.48,2.023,0.6759,0.0298,0.0497,0.89
DR Briggs,52.69,57.74,9.4,2.238,0.7191,0.0182,0.0441,0.95
LWP Wells,54.82,58.95,9.5,2.236,0.236,0.0093,0.052,0.55
MK O'Riordan,52.2,54.1,4.05,2.121,0.3863,0.0084,0.0676,0.82
MW Parkinson,42.76,45.95,8.38,1.872,0.1103,0.0207,0.0294,0.35
Shoaib Bashir,54.37,59.73,12.62,2.37,0.7154,0.0222,0.021,1.08
JD Libby,49.52,52.69,5.75,2.085,0.5366,0.0082,0.0,0.0
Kashif Ali,46.72,49.64,6.51,2.072,0.2911,0.094,0.05,0.67
DW Lawrence,50.91,54.52,7.74,2.188,0.4202,0.0276,0.0617,0.85
JA Leaning,50.16,54.63,7.16,2.195,0.132,0.0162,0.0204,2.14
LA Patterson-White,51.84,57.19,8.47,2.219,0.8062,0.0288,0.0253,1.6
CJ Green,50.58,58.03,11.82,2.431,0.0,0.0,0.0267,0.0
RM Yates,53.62,59.29,9.91,2.275,0.7164,0.0425,0.0475,0.9
BL D'Oliveira,47.34,50.06,6.83,1.849,0.1008,0.0023,0.005,0.67
TW Hartley,50.51,54.38,7.28,2.32,0.5044,0.02,0.0476,0.64
JJ Bohannon,58.68,61.39,6.01,2.01,0.8935,0.0246,0.0738,0.0
WG Jacks,52.65,56.82,9.25,2.293,0.775,0.0688,0.0187,1.0
FW McCann,52.71,57.53,7.68,2.186,0.8056,0.0437,0.0718,0.5
M Montgomery,50.25,52.49,4.38,2.271,0.827,0.0523,0.0878,0.0
AJ Turner,47.13,49.54,5.32,2.297,0.8111,0.0,0.0889,0.0
TJ Prest,48.75,51.98,5.94,2.148,0.5466,0.0133,0.0801,1.0
NRT Gubbins,53.09,54.32,2.3,2.153,0.8344,0.0662,0.0,0.0
GS Drissell,51.25,54.01,6.07,2.274,0.7909,0.0,0.0408,2.0
AM Vaughan,50.47,53.7,6.39,2.26,0.6575,0.0278,0.069,0.88
LP Goldsworthy,50.49,53.04,5.44,2.014,0.6949,0.0095,0.0619,0.4
F Ahmed,51.89,56.14,7.5,1.986,0.6362,0.0111,0.0269,0.23
CT Steel,52.36,55.4,6.76,2.008,0.3977,0.0996,0.0784,0.5
GS Virdi,48.89,53.71,9.4,2.039,0.7204,0.015,0.0708,0.96
GJ Bell,51.86,54.43,5.36,1.93,0.8125,0.0312,0.0469,0.0
SA Al Hasan,51.75,55.7,8.61,2.027,0.785,0.0448,0.0598,0.17
Y Majid,51.45,53.7,6.69,2.137,0.8891,0.0131,0.0,0.0
RS Patel,63.61,65.54,5.43,1.989,0.724,0.0,0.1034,1.0
OG Robinson,44.75,45.37,1.08,2.162,0.8051,0.1464,0.049,0.0
HPN Singh,55.84,56.54,1.13,2.198,0.603,0.0,0.1324,2.0
