Bowler,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Expected Middle Percentage,Expected Whiff Percentage,Expected Edge Percentage,Runs per Edge
NM Lyon,72.34,65.96,57.45,62.77,63.83,31.91,46.81,70.21000000000001
JG Bethell,87.23,82.98,46.81,36.17,10.64,85.11,82.98,20.209999999999994
SR Harmer,17.02,72.34,97.87,82.98,76.6,12.77,29.79,48.94
MJJ Critchley,27.66,23.4,36.17,62.77,70.21000000000001,23.4,21.28,20.209999999999994
CF Parkinson,36.17,57.45,82.98,31.91,55.32,40.43,38.3,38.3
CN Ackermann,51.06,41.49,51.06,53.19,17.019999999999996,77.66,74.47,8.510000000000005
SG Borthwick,8.51,14.89,55.32,11.7,19.150000000000006,61.7,57.45,59.57
MJ Leach,82.98,76.6,65.96,38.3,6.3799999999999955,89.36,93.62,51.06
ARI Umeed,23.4,17.02,25.53,89.36,91.49,4.26,7.45,87.23
CG Harrison,78.72,87.23,78.72,70.21,38.3,57.45,63.83,40.43
JEK Rew,4.26,6.38,12.77,51.06,0.0,100.0,100.0,87.23
DR Mousley,100.0,100.0,100.0,59.57,95.74,6.38,4.26,0.0
FS Organ,29.79,46.81,68.09,46.81,42.55,63.83,59.57,68.09
LA Dawson,65.96,61.7,74.47,21.28,31.909999999999997,68.09,68.09,36.17
DR Briggs,74.47,80.85,86.17,76.6,53.19,35.11,55.32,27.659999999999997
LWP Wells,91.49,89.36,89.36,74.47,29.790000000000006,77.66,70.21,63.83
MK O'Riordan,63.83,38.3,8.51,34.04,21.28,80.85,78.72,34.040000000000006
MW Parkinson,2.13,4.26,70.21,4.26,78.72,74.47,36.17,65.96000000000001
Shoaib Bashir,89.36,93.62,95.74,97.87,14.89,71.28,87.23,20.209999999999994
JD Libby,25.53,25.53,23.4,29.79,82.98,10.64,10.64,87.23
Kashif Ali,10.64,10.64,38.3,27.66,8.510000000000005,91.49,91.49,45.74
DW Lawrence,46.81,51.06,63.83,57.45,85.11,8.51,13.83,55.32
JA Leaning,31.91,53.19,48.94,65.96,51.06,46.81,61.7,2.1299999999999955
LA Patterson-White,57.45,74.47,72.34,72.34,74.47,17.02,19.15,10.64
CJ Green,44.68,85.11,93.62,100.0,25.53,55.32,53.19,87.23
RM Yates,85.11,91.49,91.49,87.23,65.96000000000001,26.6,24.47,12.769999999999996
BL D'Oliveira,14.89,12.77,44.68,2.13,93.62,52.13,7.45,45.74
TW Hartley,42.55,44.68,53.19,95.74,59.57,29.79,40.43,42.55
JJ Bohannon,95.74,95.74,29.79,17.02,27.659999999999997,93.62,82.98,87.23
WG Jacks,70.21,70.21,80.85,91.49,97.87,2.13,2.13,20.209999999999994
FW McCann,76.6,78.72,61.7,55.32,68.09,26.6,43.62,53.19
M Montgomery,34.04,21.28,10.64,80.85,36.17,19.15,89.36,87.23
AJ Turner,12.77,8.51,14.89,93.62,4.260000000000005,95.74,97.87,87.23
TJ Prest,19.15,19.15,27.66,42.55,23.400000000000006,82.98,76.6,20.209999999999994
NRT Gubbins,80.85,41.49,6.38,44.68,40.43,52.13,51.06,87.23
GS Drissell,48.94,36.17,31.91,85.11,72.34,14.89,24.47,5.319999999999993
AM Vaughan,38.3,30.85,34.04,78.72,46.81,42.55,72.34,31.909999999999997
LP Goldsworthy,40.43,27.66,21.28,19.15,80.85,21.28,13.83,59.57
F Ahmed,61.7,63.83,59.57,8.51,57.45,44.68,34.04,72.34
CT Steel,68.09,55.32,42.55,14.89,48.94,48.94,48.94,59.57
GS Virdi,21.28,34.04,86.17,25.53,34.040000000000006,71.28,65.96,29.790000000000006
GJ Bell,59.57,48.94,17.02,6.38,61.7,59.57,29.79,87.23
SA Al Hasan,55.32,59.57,76.6,23.4,12.769999999999996,87.23,82.98,74.47
Y Majid,53.19,30.85,40.43,40.43,44.68,35.11,29.79,87.23
RS Patel,97.87,97.87,19.15,11.7,87.23,65.96,43.62,20.209999999999994
OG Robinson,6.38,2.13,2.13,48.94,89.36,38.3,17.02,87.23
HPN Singh,93.62,68.09,4.26,68.09,2.1299999999999955,97.87,95.74,5.319999999999993
