Bowler,Runs,PitchX,PitchY
DY Pennington,0,8.1242845,-0.2712578
DY Pennington,0,7.2876468,-0.4513834
DY Pennington,4,6.1518407,-0.177031
DY Pennington,0,8.846337,-0.4905619
DY Pennington,0,6.5311144,-0.4830551
DY Pennington,2,8.5592608,-0.3987396
DY Pennington,0,6.6255494,-0.2300641
DY Pennington,2,8.4870224,-0.2868507
DY Pennington,0,7.6877206,-0.2420952
DY Pennington,0,7.9540226,-0.1297322
DY Pennington,0,8.0268809,-0.2206317
DY Pennington,4,5.2193407,-0.1551988
DY Pennington,0,8.7683264,-0.4621188
DY Pennington,0,7.1947569,-0.3530609
DY Pennington,1,6.0210935,-0.055119
DY Pennington,0,8.5498693,0.6023363
D Paterson,0,7.6331189,-0.176003
D Paterson,0,6.7861907,-0.198539
D Paterson,4,6.7065809,0.0961017
D Paterson,0,7.7856054,-0.4351122
LW James,0,6.331246,0.7527437
LW James,0,5.9719763,0.9854192
LW James,0,7.1759241,0.6880587
LW James,0,4.8074944,0.5582784
LW James,0,5.373381,1.0459061
D Paterson,0,5.7602903,-0.0783735
D Paterson,0,5.6762556,-0.0685221
D Paterson,0,6.5330893,-0.1846566
D Paterson,0,7.1316396,-0.4361046
D Paterson,0,8.1703623,-0.2791611
D Paterson,0,8.7298125,-0.4188587
D Paterson,2,6.9315602,-0.2545418
D Paterson,1,7.8573756,-0.1575781
D Paterson,0,5.3535545,0.1679134
D Paterson,0,5.1317411,0.3751443
D Paterson,0,5.6019487,0.376829
D Paterson,0,8.922308,0.2909038
D Paterson,0,7.3841051,0.2915482
D Paterson,0,5.9582649,0.2379076
D Paterson,4,5.0931566,0.7460675
D Paterson,4,4.1528923,0.1742819
D Paterson,0,6.5737899,0.4931303
DY Pennington,0,7.4690566,-0.5285291
DY Pennington,0,7.5141764,-0.268868
DY Pennington,0,7.3642939,0.3642151
DY Pennington,0,6.6424383,0.1064548
DY Pennington,0,8.8794216,-0.5050338
DY Pennington,4,7.6576921,0.4284859
DY Pennington,0,6.3369444,0.3248837
DY Pennington,0,6.1031,0.248757
DY Pennington,0,7.0255843,0.2873997
DY Pennington,0,7.3209778,0.4092023
DY Pennington,0,7.6341545,0.1998646
DY Pennington,4,4.49533,0.436778
DY Pennington,1,10.4,0.55
DY Pennington,0,8.1376835,-0.4511928
DY Pennington,0,8.7082672,-0.3154878
DY Pennington,0,6.9230428,-0.4109942
DY Pennington,0,6.2951187,-0.2373103
CG Harrison,0,4.2420592,0.2537324
CG Harrison,0,5.2343498,0.1890772
CG Harrison,0,5.4141467,-0.0302267
CG Harrison,1,4.5697186,0.0045604
CG Harrison,0,4.2046419,-0.0821323
CG Harrison,4,6.4218255,-0.2010293
BA Hutton,0,9.2913511,-0.2653763
BA Hutton,0,6.3002325,-0.3449504
BA Hutton,0,6.6672184,-0.302361
BA Hutton,0,8.6150005,-0.182315
BA Hutton,0,7.2335192,-0.3758914
BA Hutton,0,8.6269717,-0.2427162
BA Hutton,0,7.2666428,-0.2974516
D Paterson,0,6.1628725,0.5108529
D Paterson,0,5.8931327,0.6198575
D Paterson,0,3.6426344,0.3916517
D Paterson,0,5.9826216,0.5749263
BA Hutton,0,7.9684433,-0.3116685
BA Hutton,0,7.8145409,-0.2592415
BA Hutton,0,7.8146662,-0.0070805
BA Hutton,0,6.2277334,-0.2711352
