Bowler,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Middle Percentage,Whiff Percentage,Edge Percentage,Runs per Edge
DY Pennington,81.57,87.92,15.89,2.183,0.637,0.085,0.061,1.89
D Paterson,75.63,81.13,11.46,2.065,0.69,0.054,0.063,1.07
LW James,77.06,82.16,9.72,2.102,0.637,0.065,0.071,0.88
BA Hutton,73.27,78.24,10.69,2.143,0.784,0.054,0.036,1.5
SJ Cook,78.04,81.6,7.24,2.034,0.587,0.133,0.09,1.16
JA Porter,77.34,81.4,8.32,1.971,0.605,0.086,0.071,1.33
PI Walter,72.41,78.98,9.73,2.211,0.909,0.0,0.0,0.0
S Snater,75.04,79.42,8.55,2.023,0.625,0.066,0.086,1.1
OJ Hannon-Dalby,76.59,80.71,11.52,2.203,0.683,0.05,0.06,0.92
C Rushworth,75.4,79.27,8.63,2.092,0.608,0.108,0.069,2.0
MG Booth,82.89,87.62,9.41,1.96,0.677,0.015,0.077,2.2
WMH Rhodes,74.22,78.14,8.79,2.13,0.725,0.053,0.069,1.69
EG Barnard,75.42,81.95,14.78,2.014,0.742,0.052,0.039,0.83
J Leach,71.52,76.31,9.11,2.069,0.438,0.054,0.084,0.7
MJ Waite,74.1,78.58,9.8,2.029,0.403,0.06,0.06,1.62
JO Holder,77.3,82.53,11.56,2.365,0.415,0.068,0.071,1.09
NG Smith,82.67,87.27,12.1,1.982,0.456,0.043,0.062,1.23
JT Ball,79.58,83.03,8.61,2.199,0.381,0.167,0.07,0.47
EO Leonard,78.11,82.82,10.1,2.031,0.016,0.0,0.0,0.0
L Gregory,78.15,83.22,13.05,2.036,0.623,0.059,0.076,0.84
JH Davey,75.04,78.71,8.39,2.068,0.574,0.112,0.12,0.74
WA Agar,82.87,87.05,9.79,2.054,0.182,0.028,0.057,0.4
NN Gilchrist,80.73,84.56,9.48,2.101,0.357,0.04,0.031,1.43
GA Garrett,76.57,80.94,9.29,2.123,0.351,0.048,0.043,1.33
JDM Evison,72.99,78.18,10.12,1.963,0.368,0.022,0.039,1.67
KAJ Roach,78.27,82.36,8.36,1.962,0.422,0.096,0.102,1.19
TE Lawes,79.64,85.62,14.4,1.962,0.009,0.028,0.037,1.75
J Clark,80.02,85.14,11.67,2.091,0.498,0.082,0.107,0.96
AAP Atkinson,83.96,87.41,7.11,2.056,0.691,0.124,0.129,1.16
J Overton,82.53,86.15,10.14,2.046,0.818,0.0,0.091,0.5
C Overton,75.57,80.67,12.79,2.277,0.76,0.081,0.086,0.94
M Pretorius,81.04,84.51,7.4,2.136,0.686,0.078,0.106,1.52
KL Aldridge,82.49,87.35,13.11,2.189,0.719,0.079,0.065,0.78
SM Boland,80.34,85.99,8.93,1.956,0.808,0.0,0.038,1.0
MJ Potts,81.97,85.87,8.93,2.063,0.59,0.059,0.072,1.61
BA Raine,76.49,80.16,8.6,2.091,0.489,0.049,0.087,1.31
BA Carse,83.99,89.14,16.8,2.073,0.754,0.029,0.051,2.29
CN Miles,80.12,84.73,8.85,2.055,0.587,0.135,0.106,0.91
TE Bailey,75.58,82.79,17.74,2.091,0.561,0.021,0.072,0.71
WSA Williams,73.4,78.33,10.08,2.037,0.396,0.047,0.107,1.25
GP Balderson,75.95,80.8,9.5,1.925,0.317,0.047,0.089,0.81
JM Blatherwick,78.28,86.07,15.43,1.964,0.778,0.056,0.083,1.67
Muhammad Abbas,78.14,81.78,11.33,2.074,0.717,0.084,0.068,1.23
KJ Abbott,80.38,85.2,8.87,2.078,0.686,0.084,0.107,1.15
IG Holland,73.68,77.54,7.48,2.021,0.87,0.013,0.039,0.67
JK Fuller,81.58,86.18,12.5,2.127,0.706,0.14,0.039,0.89
AP Beard,80.08,82.51,5.92,1.987,0.696,0.013,0.013,0.0
AW Finch,83.36,88.17,11.53,2.167,0.556,0.103,0.054,1.08
LJ Fletcher,74.53,79.32,8.4,2.248,0.789,0.045,0.053,1.57
BFW de Leede,79.86,85.69,9.2,2.027,0.429,0.122,0.041,1.0
P Coughlin,83.18,87.23,9.31,2.191,0.535,0.051,0.096,0.87
H Ali,79.87,84.39,10.16,1.904,0.748,0.058,0.068,0.86
TA Lammonby,74.81,81.28,17.25,2.032,0.931,0.0,0.0,0.0
DJ Worrall,82.72,86.41,8.17,2.087,0.37,0.141,0.154,0.9
Arafat Bhuiyan,75.44,80.51,18.47,1.907,0.0,0.039,0.013,1.0
J Singh,78.37,81.46,6.02,2.082,0.0,0.042,0.014,2.0
NRM Thain,77.93,82.61,9.01,1.987,0.483,0.069,0.172,1.8
