Player Names,Teams,Player Links,Alternative Name,Birth Dates
DJ Worrall,SUR,https://www.cricinfo.com/cricketers/daniel-worrall-557298,daniel-worrall-557298,1991-08-10
JA Porter,ESSEX,https://www.cricinfo.com/cricketers/jamie-porter-511252,jamie-porter-511252,1993-06-25
OJ Hannon-Dalby,WARKS,https://www.cricinfo.com/cricketers/oliver-hannon-dalby-297483,oliver-hannon-dalby-297483,1989-07-20
DY Pennington,NOTTS,https://www.cricinfo.com/cricketers/dillon-pennington-1094569,dillon-pennington-1094569,1999-03-26
S Snater,ESSEX,https://www.cricinfo.com/cricketers/shane-snater-696143,shane-snater-696143,1996-04-24
LA Dawson,HANTS,https://www.cricinfo.com/cricketers/liam-dawson-211855,liam-dawson-211855,1990-04-01
SJ Cook,ESSEX,https://www.cricinfo.com/cricketers/sam-cook-772061,sam-cook-772061,1997-09-04
KJ Abbott,HANTS,https://www.cricinfo.com/cricketers/kyle-abbott-297583,kyle-abbott-297583,1987-07-18
SR Harmer,ESSEX,https://www.cricinfo.com/cricketers/simon-harmer-432960,simon-harmer-432960,1989-03-10
NG Smith,WORCS,https://www.cricinfo.com/cricketers/nathan-smith-959771,nathan-smith-959771,1998-08-15
MJJ Critchley,ESSEX,https://www.cricinfo.com/cricketers/matt-critchley-776695,matt-critchley-776695,1996-09-13
NM Lyon,LANCS,https://www.cricinfo.com/cricketers/nathan-lyon-272279,nathan-lyon-272279,1987-12-20
J Clark,SUR,https://www.cricinfo.com/cricketers/jordan-clark-301648,jordan-clark-301648,1990-11-14
GP Balderson,LANCS,https://www.cricinfo.com/cricketers/george-balderson-1146763,george-balderson-1146763,2000-11-11
M Pretorius,SOM,https://www.cricinfo.com/cricketers/migael-pretorius-605683,migael-pretorius-605683,1995-04-24
BA Raine,DURH,https://www.cricinfo.com/cricketers/ben-raine-459761,ben-raine-459761,1991-10-14
C Overton,SOM,https://www.cricinfo.com/cricketers/craig-overton-464626,craig-overton-464626,1994-05-10
MW Parkinson,KENT,https://www.cricinfo.com/cricketers/matt-parkinson-653695,matt-parkinson-653695,1996-11-24
CT Steel,SUR,https://www.cricinfo.com/cricketers/cameron-steel-633301,cameron-steel-633301,1995-10-13
MJ Potts,DURH,https://www.cricinfo.com/cricketers/matthew-potts-1027781,matthew-potts-1027781,1998-11-29
D Paterson,NOTTS,https://www.cricinfo.com/cricketers/dane-paterson-327947,dane-paterson-327947,1989-05-04
L Gregory,SOM,https://www.cricinfo.com/cricketers/lewis-gregory-362201,lewis-gregory-362201,1992-06-24
LW James,NOTTS,https://www.cricinfo.com/cricketers/lyndon-james-1046871,lyndon-james-1046871,1999-01-27
CG Harrison,NOTTS,https://www.cricinfo.com/cricketers/calvin-harrison-859899,calvin-harrison-859899,1998-05-29
