Bowler,Runs,ReleaseY,ReleaseZ,Bowler Type
TE Bailey,0,0.8422777,2.0381252,RFM
TE Bailey,0,-0.6742404,2.2364643,RFM
NM Lyon,0,-0.813898,2.1352956,ROB
JG Bethell,0,0.9810842,2.1289315,LOB
JG Bethell,0,0.9767561,2.1377098,LOB
JA Porter,0,0.708492,1.9084414,RM
JA Porter,0,0.6926094,1.9013173,RM
JA Porter,0,0.7143268,1.8112643,RM
JA Porter,0,0.6970444,1.886385,RM
JA Porter,0,0.7806537,1.8897603,RM
JA Porter,1,-0.9299693,1.899969,RM
JA Porter,0,0.8223499,1.9600382,RM
JA Porter,0,0.6590419,1.7844091,RM
JA Porter,0,0.773832,1.9273866,RM
JA Porter,4,0.7139742,1.8224762,RM
JA Porter,0,0.7200739,1.8352631,RM
JA Porter,0,-0.9162912,1.911669,RM
JA Porter,0,0.7283493,1.8445724,RM
JA Porter,0,0.763099,1.8963966,RM
JA Porter,0,0.6745574,1.8849681,RM
JA Porter,0,0.750531,1.8814942,RM
JA Porter,0,0.7371298,1.9004451,RM
JA Porter,0,0.8816498,1.961875,RM
JA Porter,0,0.8410224,1.9175602,RM
JA Porter,0,0.6949572,1.8603108,RM
JA Porter,4,0.836723,1.9215838,RM
JA Porter,0,0.7714842,1.932022,RM
E Bosch,0,-0.751965,2.0648274,RFM
E Bosch,0,-0.7990087,2.0806553,RFM
E Bosch,0,-0.6313873,2.0558569,RFM
E Bosch,0,-0.6769508,1.9732386,RFM
E Bosch,4,-0.7066394,2.1177564,RFM
E Bosch,1,0.8350624,2.0452919,RFM
E Bosch,0,0.9745777,2.0596634,RFM
E Bosch,0,0.9557471,2.0650821,RFM
E Bosch,4,0.8747353,1.9772424,RFM
E Bosch,0,0.8610959,2.0161734,RFM
E Bosch,0,0.8075561,1.9679316,RFM
E Bosch,0,0.8356739,2.0283433,RFM
E Bosch,1,0.8831428,2.003764,RFM
E Bosch,0,0.8260872,1.9892606,RFM
E Bosch,0,-1.1046845,2.0925849,RFM
E Bosch,0,-0.9147995,1.9885653,RFM
E Bosch,4,-0.9331549,2.0300448,RFM
E Bosch,4,-0.8997369,2.1000499,RFM
E Bosch,4,-0.7795049,1.9879939,RFM
E Bosch,2,-1.06741,2.1014954,RFM
E Bosch,0,-0.9537756,1.9959425,RFM
E Bosch,0,-0.9843306,2.0818324,RFM
E Bosch,0,-1.098831,2.0542423,RFM
JA Porter,0,0.7762392,1.9174389,RM
JA Porter,0,0.7352714,1.8821431,RM
JA Porter,0,0.7531181,1.9319365,RM
JA Porter,0,-0.9567731,1.9301405,RM
JA Porter,0,-0.8701784,1.884646,RM
JA Porter,1,-0.9341643,1.9251076,RM
JA Porter,0,0.7371374,1.8813563,RM
JA Porter,1,0.6616923,1.8524761,RM
SR Harmer,1,0.5882964,1.8827624,ROB
PI Walter,2,0.5895374,2.1985222,LM
PI Walter,1,0.6413056,2.2887466,LM
PI Walter,1,0.6661096,2.2372412,LM
PI Walter,1,0.5867239,2.2490428,LM
SR Harmer,1,-0.3840674,1.9425634,ROB
SR Harmer,1,0.4872454,1.9077436,ROB
SR Harmer,0,0.596972,2.0747466,ROB
SR Harmer,0,0.7815207,2.214927,ROB
SR Harmer,0,0.5510373,2.0880878,ROB
JA Porter,0,-0.8625739,2.0020012,RM
JA Porter,0,-0.7875446,1.8778825,RM
JA Porter,0,-0.8912087,1.9544726,RM
JA Porter,0,-0.814199,1.9675591,RM
