Bowler,Average Adjusted Velocity,90th Percentile Adjusted Velocity,Adjusted Velocity Variation,Average Release Height,Middle Percentage,Whiff Percentage,Edge Percentage,Runs per Edge
CG Harrison,59.46,62.16,64.86,59.46,48.65,83.78,83.78,25.680000000000007
MJJ Critchley,51.35,91.89,83.78,62.16,54.05,71.62,91.89,29.730000000000004
M Montgomery,18.92,16.22,45.95,75.68,27.03,13.51,100.0,79.73
DR Briggs,64.86,86.49,89.19,56.76,59.46,44.59,64.86,18.92
RM Yates,56.76,48.65,24.32,81.08,40.54,81.08,45.95,21.620000000000005
Kashif Ali,16.22,13.51,29.73,18.92,78.38,97.3,58.11,16.22
MT Renshaw,24.32,35.14,78.38,89.19,62.16,40.54,12.16,79.73
LP Goldsworthy,31.08,32.43,67.57,8.11,70.27,78.38,33.78,79.73
MW Parkinson,5.41,5.41,10.81,5.41,86.49,35.14,50.0,48.65
T Banton,94.59,100.0,100.0,100.0,95.95,13.51,12.16,79.73
CT Steel,43.24,45.95,56.76,16.22,75.68,100.0,97.3,45.95
Shoaib Bashir,91.89,97.3,70.27,94.59,21.620000000000005,50.0,37.84,25.680000000000007
CN Ackermann,97.3,81.08,62.16,43.24,43.24,71.62,41.89,2.700000000000003
DR Mousley,62.16,43.24,5.41,83.78,0.0,13.51,12.16,79.73
JG Bethell,75.68,70.27,54.05,35.14,29.730000000000004,75.68,29.73,6.760000000000005
NM Lyon,81.08,72.97,59.46,48.65,64.86,27.03,64.86,52.7
LWP Wells,89.19,94.59,86.49,72.97,67.57,50.0,70.27,58.11
LA Dawson,70.27,78.38,81.08,13.51,32.43000000000001,63.51,50.0,40.54
TJ Prest,21.62,18.92,40.54,27.03,2.700000000000003,91.89,81.08,79.73
NRT Gubbins,48.65,29.73,8.11,32.43,18.92,89.19,12.16,79.73
GJ Bell,13.51,8.11,13.51,10.81,37.84,13.51,12.16,79.73
JK Denly,78.38,59.46,51.35,21.62,35.14,86.49,12.16,79.73
JA Leaning,72.97,83.78,75.68,54.05,81.08,35.14,27.03,0.0
SR Harmer,35.14,75.68,91.89,91.89,51.35,67.57,86.49,43.24
JO Baker,31.08,27.03,32.43,86.49,6.760000000000005,13.51,64.86,52.7
BL D'Oliveira,8.11,10.81,35.14,2.7,89.19,29.73,24.32,36.49
LA Patterson-White,83.78,64.86,43.24,64.86,16.22,63.51,41.89,6.760000000000005
JD Libby,37.84,24.32,27.03,24.32,72.97,13.51,12.16,79.73
CF Parkinson,100.0,89.19,72.97,29.73,56.76,55.41,54.05,32.43000000000001
TW Hartley,45.95,37.84,18.92,97.3,83.78,13.51,72.97,36.49
FS Organ,54.05,51.35,21.62,40.54,6.760000000000005,59.46,33.78,79.73
DW Lawrence,40.54,54.05,94.59,78.38,24.319999999999993,44.59,58.11,12.159999999999997
JL Denly,27.03,21.62,37.84,67.57,91.89,55.41,78.38,12.159999999999997
RP Jones,2.7,2.7,2.7,45.95,95.95,13.51,12.16,79.73
MK O'Riordan,86.49,67.57,16.22,51.35,10.810000000000002,35.14,94.59,58.11
MJ Leach,67.57,56.76,48.65,37.84,13.510000000000005,13.51,75.68,79.73
ARI Umeed,10.81,40.54,97.3,70.27,45.95,94.59,89.19,79.73
